Size,Waist (Inches),Hip (Inches),Inseam (Inches)
XS,27-29,32-34,31.9
S,30-32,35-37,32.1
M,32-35,37-40,32.3
L,35-39,40-44,32.5
XL,39-43,44-48,32.7
2XL,43-47,48-51,32.5
3XL,48-53,51-56,32.3
S Tall,30-32,35-37,34.1
M Tall,32-35,37-40,34.3
L Tall,35-39,40-44,34.5
XL Tall,39-43,44-48,34.7
2XL Tall,43-47,48-51,34.5
3XL Tall,48-53,51-56,34.3
XS Short,27-29,32-34,29.9
S Short,30-32,35-37,30.1
M Short,32-35,37-40,30.3
L Short,35-39,40-44,30.5
XL Short,39-43,44-48,30.7
2XL Short,43-47,48-51,30.5
3XL Short,48-53,51-56,30.3
