Size,Waist (Inches),Hip (Inches),Inseam (Inches)
S,29-32,35-37.5,32.25
M,32-35,37.5-41,32.5
L,35-38,41-44,32.75
XL,38-43,44-47,33
2XL,43-47.5,47-50.5,33.25
3XL,47.5-52.5,50.5-53.5,33.5
4XL,52.5-57,53.5-58,34
S Tall,29-32,35-37.5,34.25
M Tall,32-35,37.5-41,34.5
L Tall,35-38,41-44,34.75
XL Tall,38-43,44-47,35
2XL Tall,43-47.5,47-50.5,35.25
3XL Tall,47.5-52.5,50.5-53.5,35.5
4XL Tall,52.5-57,53.5-58,36
XS Short,<29,<35,30
S Short,29-32,35-37.5,30.25
M Short,32-35,37.5-41,30.5
L Short,35-38,41-44,30.75
XL Short,38-43,44-47,31
2XL Short,43-47.5,47-50.5,31.25
3XL Short,47.5-52.5,50.5-53.5,31.5
4XL Short,52.5-57,53.5-58,32
