Size,Chest (Inches),Waist (Inches),Hip (Inches)
XS,32.5-34,27.5-29,32-33.5
S,34.5-36,29.5-31.5,34-36
M,36.5-39,32-34.5,36.5-39
L,39.5-42.5,35-38,39.5-42
XL,43-46.5,38.5-42,42.5-45.5
2XL,47-51,42.5-47,46-49
3XL,51.5-56,47.5-52,49.5-53
S Tall,34.5-36,29.5-31.5,34-36
M Tall,36.5-39,32-34.5,36.5-39
L Tall,39.5-42.5,35-38,39.5-42
XL Tall,43-46.5,38.5-42,42.5-45.5
2XL Tall,47-51,42.5-47,46-49
3XL Tall,51.5-56,47.5-52,49.5-53
XS Short,32.5-34,27.5-29,32-33.5
S Short,34.5-36,29.5-31.5,34-36
M Short,36.5-39,32-34.5,36.5-39
L Short,39.5-42.5,35-38,39.5-42
XL Short,43-46.5,38.5-42,42.5-45.5
2XL Short,47-51,42.5-47,46-49
3XL Short,51.5-56,47.5-52,49.5-53
